BlockListIteration.thisRepN,BlockListIteration.thisTrialN,BlockListIteration.thisN,BlockListIteration.thisIndex,key_resp_2.keys,key_resp_2.rt,keyPressRun.keys,keyPressRun.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,space,10.453395799966529,,,,001,2019_Mar_08_1534,untitled,3.0.1,60.10767685853991,
,,,,,,space,1.3531309000682086,,001,2019_Mar_08_1534,untitled,3.0.1,60.10767685853991,
