key_resp_2.keys,key_resp_2.rt,keyPressRun.keys,keyPressRun.rt,participant,session,date,expName,psychopyVersion,frameRate,
space,12.945454399974551,,,,001,2019_Feb_19_1458,untitled,3.0.1,59.99106133363665,
,,space,0.5161605000030249,,001,2019_Feb_19_1458,untitled,3.0.1,59.99106133363665,
